sym,date,dir,sess,cat,entry,exit,er,lot,pnl,tp1hit,q,balance,month
EURUSD,2025-06-03,LONG,LONDON,Major,1.14164,1.14251,TRAIL,0.65,68.51,True,9,10068.51,2025-06
USDCHF,2025-06-03,SHORT,LONDON,Major,0.81843,0.81843,TRAIL,0.76,40.28,True,7,10108.79,2025-06
XAUUSD,2025-06-04,LONG,NY,Metal,3347.67,3346.5,SL,0.43,-50.31,False,10,10058.48,2025-06
GBPCAD,2025-06-04,SHORT,LONDON,Cross,1.85599,1.85265,TRAIL,0.48,120.38,True,8,10178.86,2025-06
XAUUSD,2025-06-05,LONG,LONDON,Metal,3371.16,3387.71,TP2,0.08,132.4,True,10,10311.26,2025-06
GBPCAD,2025-06-05,SHORT,LONDON,Cross,1.85365,1.85302,TRAIL,0.8,66.44,True,8,10377.7,2025-06
XAUUSD,2025-06-06,LONG,NY,Metal,3349.36,3342.79,SL,0.08,-52.56,False,10,10325.14,2025-06
GBPAUD,2025-06-06,SHORT,LONDON,Cross,2.08649,2.08468,TRAIL,0.39,76.24,True,8,10401.38,2025-06
AUDUSD,2025-06-10,LONG,LONDON,Major,0.65075,0.64957,SL,0.71,-83.78,False,9,10317.6,2025-06
EURNZD,2025-06-10,SHORT,LONDON,Cross,1.88897,1.88637,TP2,0.79,205.4,True,8,10523.0,2025-06
EURUSD,2025-06-11,LONG,LONDON,Major,1.14168,1.14054,SL,0.74,-84.36,False,9,10438.64,2025-06
GBPAUD,2025-06-11,SHORT,LONDON,Cross,2.07124,2.06862,TRAIL,0.24,73.81,True,8,10512.45,2025-06
AUDUSD,2025-06-12,LONG,LONDON,Major,0.6496,0.64825,SL,0.62,-83.7,False,9,10428.75,2025-06
USDCAD,2025-06-12,SHORT,LONDON,Major,1.36737,1.36591,TRAIL,0.9,107.6,True,7,10536.35,2025-06
AUDNZD,2025-06-13,SHORT,LONDON,Cross,1.07695,1.07809,SL,0.74,-84.36,False,4,10451.99,2025-06
XAUUSD,2025-06-17,LONG,LONDON,Metal,3383.24,3390.981,TRAIL,0.05,44.18,True,10,10496.17,2025-06
USDCAD,2025-06-17,SHORT,LONDON,Major,1.35795,1.35723,TRAIL,0.86,72.93,True,7,10569.1,2025-06
XAUUSD,2025-06-18,LONG,LONDON,Metal,3381.65,3389.375,TP2,0.17,131.32,True,10,10700.42,2025-06
GBPUSD,2025-06-18,SHORT,LONDON,Major,1.34735,1.34564,TRAIL,0.67,100.03,True,8,10800.45,2025-06
GBPAUD,2025-06-19,SHORT,LONDON,Cross,2.06564,2.06755,SL,0.45,-85.95,False,8,10714.5,2025-06
USDCHF,2025-06-19,LONG,NY,Major,0.81569,0.81794,TP2,0.95,213.75,True,7,10928.25,2025-06
AUDUSD,2025-06-20,SHORT,LONDON,Major,0.648,0.64733,EOD,0.42,28.14,False,9,10956.39,2025-06
USDCAD,2025-06-20,LONG,LONDON,Major,1.36956,1.37018,TRAIL,0.9,71.5,True,7,11027.89,2025-06
GBPAUD,2025-06-24,LONG,LONDON,Cross,2.09054,2.09504,EOD,0.15,67.5,False,8,11095.39,2025-06
EURUSD,2025-06-25,LONG,NY,Major,1.16038,1.1601,EOD,0.61,-17.08,False,9,11078.31,2025-06
USDCHF,2025-06-25,SHORT,LONDON,Major,0.80544,0.80544,TRAIL,0.93,44.18,True,7,11122.49,2025-06
XAUUSD,2025-06-26,SHORT,LONDON,Metal,3335.54,3334.922,TRAIL,0.18,33.82,True,10,11156.31,2025-06
HK50.cash,2025-06-26,LONG,LONDON,Index,24329.83,24291.63,SL,2.34,-89.39,False,9,11066.92,2025-06
EURUSD,2025-06-27,LONG,LONDON,Major,1.16912,1.17099,TRAIL,0.56,96.49,True,9,11163.41,2025-06
USDCAD,2025-06-27,SHORT,LONDON,Major,1.3645,1.36342,TRAIL,0.71,82.89,True,7,11246.3,2025-06
EURNZD,2025-07-01,LONG,NY,Cross,1.9308,1.9311,TRAIL,0.59,53.81,True,8,11300.11,2025-07
XAUUSD,2025-07-02,LONG,LONDON,Metal,3337.11,3339.08,TRAIL,0.19,47.21,True,10,11347.32,2025-07
GBPAUD,2025-07-02,SHORT,LONDON,Cross,2.09077,2.08907,TRAIL,0.52,89.21,True,8,11436.53,2025-07
XAUUSD,2025-07-03,LONG,LONDON,Metal,3347.76,3355.385,TP2,0.19,144.87,True,10,11581.4,2025-07
GBPUSD,2025-07-03,SHORT,LONDON,Major,1.36643,1.36126,TP2,0.45,232.87,True,8,11814.27,2025-07
HK50.cash,2025-07-04,SHORT,LONDON,Index,24029.13,23858.38,TP2,1.38,235.63,True,9,12049.9,2025-07
AUDCHF,2025-07-04,LONG,LONDON,Cross,0.52084,0.51982,SL,0.95,-96.9,False,5,11953.0,2025-07
XAUUSD,2025-07-08,LONG,LONDON,Metal,3327.83,3331.005,TP2,0.47,149.22,True,10,12102.22,2025-07
AUDCHF,2025-07-08,SHORT,LONDON,Cross,0.51914,0.52006,SL,1.05,-96.6,False,5,12005.62,2025-07
EURUSD,2025-07-09,LONG,LONDON,Major,1.17079,1.17215,TRAIL,0.65,91.94,True,9,12097.56,2025-07
GBPUSD,2025-07-09,SHORT,LONDON,Major,1.35963,1.35826,TRAIL,0.52,83.59,True,8,12181.15,2025-07
XAUUSD,2025-07-10,SHORT,LONDON,Metal,3316.3,3320.75,SL,0.14,-62.3,False,10,12118.85,2025-07
EURNZD,2025-07-10,LONG,LONDON,Cross,1.9493,1.94997,TRAIL,0.83,76.32,True,8,12195.17,2025-07
AUDUSD,2025-07-11,LONG,NY,Major,0.65715,0.65841,TRAIL,1.16,121.68,True,9,12316.85,2025-07
EURNZD,2025-07-11,SHORT,LONDON,Cross,1.94075,1.94319,SL,0.4,-97.6,False,8,12219.25,2025-07
HK50.cash,2025-07-15,LONG,LONDON,Index,24227.03,24324.78,TP2,2.5,244.37,True,9,12463.62,2025-07
GBPCAD,2025-07-15,SHORT,LONDON,Cross,1.84134,1.84046,TRAIL,0.86,87.81,True,8,12551.43,2025-07
HK50.cash,2025-07-16,LONG,LONDON,Index,24544.23,24605.48,TP2,4.1,251.12,True,9,12802.55,2025-07
GBPCAD,2025-07-16,SHORT,LONDON,Cross,1.8374,1.83939,SL,0.51,-101.49,False,8,12701.06,2025-07
HK50.cash,2025-07-17,LONG,LONDON,Index,24516.63,24410.03,SL,0.95,-101.27,False,9,12599.79,2025-07
GBPCAD,2025-07-17,SHORT,LONDON,Cross,1.83963,1.84113,SL,0.67,-100.5,False,8,12499.29,2025-07
XAUUSD,2025-07-18,LONG,LONDON,Metal,3336.08,3336.08,TRAIL,0.21,31.81,True,10,12531.1,2025-07
GBPUSD,2025-07-18,SHORT,LONDON,Major,1.34188,1.34335,SL,0.68,-99.96,False,8,12431.14,2025-07
XAUUSD,2025-07-22,LONG,LONDON,Metal,3391.87,3388.06,SL,0.16,-60.96,False,10,12370.18,2025-07
USDCAD,2025-07-22,SHORT,LONDON,Major,1.36916,1.36808,TRAIL,0.97,102.04,True,7,12472.22,2025-07
XAUUSD,2025-07-23,LONG,NY,Metal,3426.87,3419.66,SL,0.09,-64.89,False,10,12407.33,2025-07
USDCHF,2025-07-23,SHORT,LONDON,Major,0.79308,0.79308,TRAIL,0.52,49.66,True,7,12456.99,2025-07
EURUSD,2025-07-24,LONG,NY,Major,1.17459,1.17352,SL,0.93,-99.51,False,9,12357.48,2025-07
EURUSD,2025-07-25,LONG,LONDON,Major,1.1739,1.17497,TRAIL,0.98,101.77,True,9,12459.25,2025-07
EURNZD,2025-07-25,SHORT,LONDON,Cross,1.95017,1.94938,TRAIL,0.67,76.48,True,8,12535.73,2025-07
XAUUSD,2025-07-29,SHORT,LONDON,Metal,3318.35,3315.35,TP2,0.52,156.0,True,10,12691.73,2025-07
HK50.cash,2025-07-29,LONG,LONDON,Index,25356.23,25475.27,TRAIL,1.04,112.44,True,9,12804.17,2025-07
XAUUSD,2025-07-30,SHORT,LONDON,Metal,3330.29,3332.82,SL,0.25,-63.25,False,10,12740.92,2025-07
GER40.cash,2025-07-30,LONG,LONDON,Index,24181.26,24250.85,TRAIL,1.53,104.26,True,8,12845.18,2025-07
AUDUSD,2025-07-31,SHORT,LONDON,Major,0.64703,0.64453,TP2,1.03,257.5,True,9,13102.68,2025-07
GBPAUD,2025-07-31,LONG,NY,Cross,2.05408,2.0502,SL,0.27,-104.76,False,8,12997.92,2025-07
XAUUSD,2025-08-01,SHORT,LONDON,Metal,3297.95,3293.29,TRAIL,0.21,81.48,True,10,13079.4,2025-08
GBPAUD,2025-08-01,LONG,LONDON,Cross,2.05209,2.04989,SL,0.48,-105.6,False,8,12973.8,2025-08
XAUUSD,2025-08-05,LONG,LONDON,Metal,3371.09,3366.85,SL,0.15,-63.6,False,10,12910.2,2025-08
GBPCAD,2025-08-05,SHORT,LONDON,Cross,1.83053,1.82957,TRAIL,0.59,79.59,True,8,12989.79,2025-08
EURNZD,2025-08-06,LONG,NY,Cross,1.95892,1.96182,EOD,0.28,81.2,False,8,13070.99,2025-08
GER40.cash,2025-08-06,SHORT,LONDON,Index,23916.26,23943.46,SL,3.84,-104.45,False,8,12966.54,2025-08
GBPAUD,2025-08-07,LONG,NY,Cross,2.05046,2.05676,TP2,0.41,258.3,True,8,13224.84,2025-08
GER40.cash,2025-08-07,SHORT,LONDON,Index,23971.26,24001.26,SL,3.53,-105.9,False,8,13118.94,2025-08
XAUUSD,2025-08-08,LONG,LONDON,Metal,3384.85,3390.6,TP2,0.29,166.75,True,10,13285.69,2025-08
GBPAUD,2025-08-12,LONG,LONDON,Cross,2.05968,2.0635,TP2,0.69,263.92,True,8,13549.61,2025-08
XAUUSD,2025-08-13,SHORT,LONDON,Metal,3350.3,3350.119,TRAIL,0.2,35.11,True,10,13584.72,2025-08
GBPAUD,2025-08-13,LONG,LONDON,Cross,2.06584,2.06976,TP2,0.69,270.82,True,8,13855.54,2025-08
XAUUSD,2025-08-14,SHORT,LONDON,Metal,3358.87,3362.47,SL,0.19,-68.4,False,10,13787.14,2025-08
GBPAUD,2025-08-14,LONG,LONDON,Cross,2.07141,2.07608,TP2,0.59,275.82,True,8,14062.96,2025-08
XAUUSD,2025-08-15,SHORT,LONDON,Metal,3340.57,3344.71,SL,0.17,-70.38,False,10,13992.58,2025-08
GER40.cash,2025-08-15,LONG,NY,Index,24392.86,24364.16,SL,3.9,-111.93,False,8,13880.65,2025-08
HK50.cash,2025-08-19,LONG,LONDON,Index,25204.33,25097.13,SL,1.04,-111.49,False,9,13769.16,2025-08
XAUUSD,2025-08-20,SHORT,LONDON,Metal,3319.65,3321.58,SL,0.36,-69.48,False,10,13699.68,2025-08
GBPCAD,2025-08-20,LONG,NY,Cross,1.86838,1.86905,EOD_trail,1.1,91.85,True,8,13791.53,2025-08
EURUSD,2025-08-21,LONG,LONDON,Major,1.16472,1.16335,SL,0.81,-110.97,False,9,13680.56,2025-08
HK50.cash,2025-08-22,LONG,LONDON,Index,25153.53,25228.03,TP2,3.67,273.42,True,9,13953.98,2025-08
AUDCHF,2025-08-22,SHORT,LONDON,Cross,0.51972,0.51969,EOD,0.92,2.76,False,5,13956.74,2025-08
AUDUSD,2025-08-26,LONG,LONDON,Major,0.64768,0.6486,TRAIL,0.83,93.71,True,9,14050.45,2025-08
GBPAUD,2025-08-26,SHORT,LONDON,Cross,2.07694,2.078,EOD,0.47,-49.82,False,8,14000.63,2025-08
XAUUSD,2025-08-27,LONG,LONDON,Metal,3380.66,3377.8,EOD,0.09,-25.74,False,10,13974.89,2025-08
GER40.cash,2025-08-27,SHORT,LONDON,Index,24229.43,24197.079,TRAIL,3.22,108.0,True,8,14082.89,2025-08
XAUUSD,2025-08-28,LONG,LONDON,Metal,3392.68,3394.358,TRAIL,0.15,47.39,True,10,14130.28,2025-08
HK50.cash,2025-08-28,SHORT,LONDON,Index,25009.73,24936.45,TRAIL,1.21,100.84,True,9,14231.12,2025-08
XAUUSD,2025-08-29,LONG,NY,Metal,3414.94,3428.56,EOD_trail,0.08,90.48,True,10,14321.6,2025-08
